Points_0,Points_1,Points_2,Points_Magnitude,arc_length,Block Number,Point ID
7.36398,-10.1364,8.01524,14.8734,0,1,0
7.41848,-9.57452,8.03502,14.535,0.564886,1,1
7.47061,-8.75326,7.98381,14.0061,1.38939,1,2
7.46255,-8.38313,8.02825,13.7992,1.76227,1,3
7.42364,-7.425,8.06647,13.2404,2.72195,1,4
7.2428,-6.54587,8.10921,12.6912,3.62051,1,5
7.06672,-5.36422,8.27465,12.1319,4.8266,1,6
6.8374,-4.55561,8.53658,11.8481,5.70697,1,7
6.72629,-4.05641,8.69124,11.7147,6.24126,1,8
6.66123,-3.83709,8.74618,11.6444,6.47653,1,9
6.29319,-3.02826,8.93378,11.3396,7.38474,1,10
5.73207,-1.86735,9.32243,11.1019,8.73144,1,11
5.14992,-0.937657,9.63455,10.9647,9.87191,1,12
4.27441,0.355294,10.071,10.9464,11.4932,1,13
3.79671,0.932791,10.1944,10.9183,12.2528,1,14
2.89266,1.9704,10.5898,11.1532,13.6847,1,15
2.74398,2.15301,10.6501,11.2067,13.9278,1,16
2.49534,2.39472,10.6934,11.2388,14.2772,1,17
1.7672,3.1411,10.8258,11.4099,15.3283,1,18
0.955019,3.88782,10.8959,11.6081,16.4338,1,19
0.26035,4.56656,10.9689,11.8843,17.4078,1,20
-0.491382,5.14949,10.8404,12.0113,18.3677,1,21
-1.74745,6.19575,10.7532,12.5329,20.0047,1,22
-2.23946,6.52438,10.6966,12.7279,20.5991,1,23
-3.20146,7.36022,10.4607,13.1852,21.8951,1,24
-3.73892,7.75591,10.3109,13.4331,22.5792,1,25
-4.23265,8.18798,10.102,13.6751,23.2677,1,26
-4.84015,8.85815,9.84077,14.0973,24.2092,1,27
-5.24199,9.28806,9.55264,14.3178,24.8644,1,28
-5.24903,9.29038,9.55816,14.3256,0,2,0
-4.92555,8.44488,9.80522,13.8463,0.938374,2,1
-4.53824,7.40725,9.98225,13.2328,2.06,2,2
-4.09659,6.55489,10.155,12.7622,3.0354,2,3
-3.37401,5.11979,10.3805,12.0561,4.65789,2,4
-2.74421,4.12064,10.5436,11.6481,5.85018,2,5
-2.42236,3.67262,10.6669,11.5386,6.41545,2,6
-2.00118,3.1043,10.7385,11.3559,7.12642,2,7
-0.971133,1.3622,10.8902,11.018,9.15594,2,8
-0.493157,0.72207,10.9619,10.9968,9.95805,2,9
0.448622,-0.635478,10.9735,11.001,11.6103,2,10
0.758736,-1.13889,10.961,11.046,12.2017,2,11
1.42386,-2.14421,10.8164,11.1185,13.4158,2,12
2.12119,-3.04288,10.73,11.353,14.5565,2,13
3.05398,-4.53901,10.5109,11.8494,16.3332,2,14
3.96122,-5.75374,10.198,12.3611,17.8813,2,15
4.77474,-7.04146,9.84997,13.0155,19.4437,2,16
5.08214,-7.47193,9.66753,13.2333,20.0032,2,17
5.58385,-8.07056,9.40612,13.5937,20.8269,2,18
6.24255,-8.99496,8.99382,14.1692,22.0345,2,19
6.51514,-9.30454,8.78103,14.3572,22.4987,2,20
6.6639,-9.42799,8.65244,14.4277,22.7309,2,21
7.12407,-10.0004,8.20339,14.7667,23.5917,2,22
7.35218,-10.1327,7.99061,14.8518,23.9305,2,23
-7.36398,-10.1364,-8.01524,14.8734,0,3,0
-7.41848,-9.57452,-8.03502,14.535,0.564886,3,1
-7.47061,-8.75326,-7.98381,14.0061,1.38939,3,2
-7.46255,-8.38313,-8.02825,13.7992,1.76227,3,3
-7.42364,-7.425,-8.06647,13.2404,2.72195,3,4
-7.2428,-6.54587,-8.10921,12.6912,3.62051,3,5
-7.06672,-5.36422,-8.27465,12.1319,4.8266,3,6
-6.8374,-4.55561,-8.53658,11.8481,5.70697,3,7
-6.72629,-4.05641,-8.69124,11.7147,6.24126,3,8
-6.66123,-3.83709,-8.74618,11.6444,6.47653,3,9
-6.29319,-3.02826,-8.93378,11.3396,7.38474,3,10
-5.73207,-1.86735,-9.32243,11.1019,8.73144,3,11
-5.14992,-0.937657,-9.63455,10.9647,9.87191,3,12
-4.27441,0.355294,-10.071,10.9464,11.4932,3,13
-3.79671,0.932791,-10.1944,10.9183,12.2528,3,14
-2.89266,1.9704,-10.5898,11.1532,13.6847,3,15
-2.74398,2.15301,-10.6501,11.2067,13.9278,3,16
-2.49534,2.39472,-10.6934,11.2388,14.2772,3,17
-1.7672,3.1411,-10.8258,11.4099,15.3283,3,18
-0.955019,3.88782,-10.8959,11.6081,16.4338,3,19
-0.26035,4.56656,-10.9689,11.8843,17.4078,3,20
0.491382,5.14949,-10.8404,12.0113,18.3677,3,21
1.74745,6.19575,-10.7532,12.5329,20.0047,3,22
2.23946,6.52438,-10.6966,12.7279,20.5991,3,23
3.20146,7.36022,-10.4607,13.1852,21.8951,3,24
3.73892,7.75591,-10.3109,13.4331,22.5792,3,25
4.23265,8.18798,-10.102,13.6751,23.2677,3,26
4.84015,8.85815,-9.84077,14.0973,24.2092,3,27
5.24199,9.28806,-9.55264,14.3178,24.8644,3,28
5.24903,9.29038,-9.55816,14.3256,0,4,0
4.92555,8.44488,-9.80522,13.8463,0.938374,4,1
4.53824,7.40725,-9.98225,13.2328,2.06,4,2
4.09659,6.55489,-10.155,12.7622,3.0354,4,3
3.37401,5.11979,-10.3805,12.0561,4.65789,4,4
2.74421,4.12064,-10.5436,11.6481,5.85018,4,5
2.42236,3.67262,-10.6669,11.5386,6.41545,4,6
2.00118,3.1043,-10.7385,11.3559,7.12642,4,7
0.971133,1.3622,-10.8902,11.018,9.15594,4,8
0.493157,0.72207,-10.9619,10.9968,9.95805,4,9
-0.448622,-0.635478,-10.9735,11.001,11.6103,4,10
-0.758736,-1.13889,-10.961,11.046,12.2017,4,11
-1.42386,-2.14421,-10.8164,11.1185,13.4158,4,12
-2.12119,-3.04288,-10.73,11.353,14.5565,4,13
-3.05398,-4.53901,-10.5109,11.8494,16.3332,4,14
-3.96122,-5.75374,-10.198,12.3611,17.8813,4,15
-4.77474,-7.04146,-9.84997,13.0155,19.4437,4,16
-5.08214,-7.47193,-9.66753,13.2333,20.0032,4,17
-5.58385,-8.07056,-9.40612,13.5937,20.8269,4,18
-6.24255,-8.99496,-8.99382,14.1692,22.0345,4,19
-6.51514,-9.30454,-8.78103,14.3572,22.4987,4,20
-6.6639,-9.42799,-8.65244,14.4277,22.7309,4,21
-7.12407,-10.0004,-8.20339,14.7667,23.5917,4,22
-7.35218,-10.1327,-7.99061,14.8518,23.9305,4,23
9.55055,9.28719,5.23932,14.3149,0,5,0
9.78707,8.52121,4.94744,13.8879,0.85314,5,1
9.99048,7.32897,4.50242,13.1831,2.14189,5,2
10.1482,6.55279,4.09146,12.754,3.03419,5,3
10.391,5.00729,3.31329,12.001,4.7815,5,4
10.5387,4.10602,2.734,11.6361,5.86302,5,5
10.6682,3.66999,2.42104,11.5387,6.41515,5,6
10.7404,3.09533,1.99599,11.3543,7.13355,5,7
10.891,1.36593,0.973455,11.0194,9.14827,5,8
10.9627,0.718604,0.490928,10.9972,9.95883,5,9
10.974,-0.653356,-0.459804,11.003,11.628,5,10
10.9622,-1.12804,-0.752218,11.0457,12.1857,5,11
10.8183,-2.14307,-1.42384,11.1201,13.4113,5,12
10.7299,-3.04427,-2.12213,11.3535,14.5548,5,13
10.5111,-4.53828,-3.0536,11.8492,16.3289,5,14
10.1978,-5.75496,-3.96209,12.3618,17.8793,5,15
9.85026,-7.04087,-4.77446,13.0153,19.4396,5,16
9.66755,-7.47196,-5.08219,13.2333,19.9999,5,17
9.40602,-8.07085,-5.58409,13.5939,20.8239,5,18
8.99387,-8.99491,-6.24254,14.1692,22.031,5,19
8.78115,-9.30438,-6.51504,14.3571,22.495,5,20
8.65261,-9.42778,-6.66374,14.4276,22.7271,5,21
8.20342,-10.0004,-7.12413,14.7668,23.5883,5,22
7.99067,-10.1327,-7.35221,14.8518,23.9271,5,23
7.99874,-10.1339,-7.35608,14.8589,0,6,0
