Points_0,Points_1,Points_2,Points_Magnitude,arc_length,Block Number,Point ID
12.2248,-8.78855,18.8417,24.1183,0,1,0
11.9201,-8.1296,19.0706,23.9137,0.761244,1,1
11.7473,-7.81192,19.1885,23.8164,1.1416,1,2
11.5353,-7.51842,19.3082,23.7149,1.52294,1,3
10.918,-6.64209,19.6149,23.4108,2.63787,1,4
10.46,-5.94166,19.8527,23.213,3.50785,1,5
7.94682,-3.13678,21.0011,22.6724,7.44513,1,6
7.6853,-2.81243,21.0951,22.6269,7.87227,1,7
7.33356,-2.43604,21.2288,22.5915,8.40448,1,8
6.06149,-1.30765,21.6227,22.4943,10.1499,1,9
5.1635,-0.489445,21.8799,22.4863,11.3917,1,10
4.90454,-0.279009,21.942,22.4851,11.7311,1,11
4.23445,0.278292,22.052,22.4566,12.6096,1,12
2.78887,1.32448,22.2925,22.5053,14.4102,1,13
2.04759,1.88798,22.3817,22.5543,15.3456,1,14
1.51686,2.25713,22.4173,22.5817,15.993,1,15
-0.226259,3.38866,22.4545,22.7098,18.0715,1,16
-1.29613,4.05779,22.4308,22.8317,19.3336,1,17
-3.1127,5.07414,22.2377,23.0207,21.4241,1,18
-3.70678,5.40965,22.1615,23.1114,22.1107,1,19
-3.87013,5.48701,22.1348,23.1309,22.2934,1,20
-4.8102,5.96015,21.9621,23.2593,23.3599,1,21
-5.48124,6.30166,21.8097,23.3542,24.1281,1,22
-5.57535,6.34737,21.7853,23.3661,24.2355,1,23
-7.31256,7.1424,21.2348,23.567,26.2237,1,24
-8.66512,7.72897,20.702,23.7359,27.7913,1,25
-9.80668,8.19257,20.2129,23.9134,29.117,1,26
-10.4488,8.42624,19.8605,23.9712,29.8857,1,27
-11.5348,8.89179,19.2058,24.1035,31.2367,1,28
-11.5294,8.89217,19.2035,24.0992,0,2,0
-10.4915,7.83639,19.8503,23.7806,1.61568,2,1
-9.91502,7.3636,20.1445,23.629,2.41717,2,2
-8.97616,6.61686,20.5929,23.4184,3.69785,2,3
-7.75969,5.60511,21.0796,23.1513,5.35325,2,4
-6.38918,4.58671,21.5694,22.9586,7.12957,2,5
-6.20496,4.44536,21.624,22.9316,7.3681,2,6
-5.50655,3.9385,21.7955,22.8227,8.24792,2,7
-4.6567,3.30366,21.9927,22.7217,9.32688,2,8
-3.94789,2.82644,22.1047,22.6317,10.1887,2,9
-1.76513,1.25538,22.3105,22.4154,12.8859,2,10
-0.514414,0.284318,22.4068,22.4145,14.4723,2,11
0.593955,-0.46775,22.357,22.3698,15.8126,2,12
2.48749,-1.80986,22.3123,22.5233,18.134,2,13
2.89878,-2.06094,22.2806,22.5627,18.6169,2,14
3.45906,-2.46327,22.2265,22.6285,19.3088,2,15
3.76672,-2.68922,22.1712,22.6491,19.6945,2,16
5.91919,-4.18244,21.6006,22.7841,22.3756,2,17
6.9056,-4.9989,21.3045,22.9468,23.6899,2,18
7.53257,-5.49783,21.0918,23.0614,24.5189,2,19
9.84825,-7.15118,20.1245,23.5186,27.5242,2,20
10.5499,-7.72111,19.8199,23.7433,28.4781,2,21
10.8476,-7.93887,19.6786,23.8316,28.873,2,22
11.2639,-8.27888,19.4562,23.9574,29.4547,2,23
11.5311,-8.4798,19.3122,24.0382,29.8187,2,24
12.1139,-8.72745,18.9556,24.1294,30.5455,2,25
12.2423,-8.7791,18.8587,24.137,30.7144,2,26
-12.2248,-8.78855,-18.8417,24.1183,0,3,0
-11.9201,-8.1296,-19.0706,23.9137,0.761244,3,1
-11.7473,-7.81192,-19.1885,23.8164,1.1416,3,2
-11.5353,-7.51842,-19.3082,23.7149,1.52294,3,3
-10.918,-6.64209,-19.6149,23.4108,2.63787,3,4
-10.46,-5.94166,-19.8527,23.213,3.50785,3,5
-7.94682,-3.13678,-21.0011,22.6724,7.44513,3,6
-7.6853,-2.81243,-21.0951,22.6269,7.87227,3,7
-7.33356,-2.43604,-21.2288,22.5915,8.40448,3,8
-6.06149,-1.30765,-21.6227,22.4943,10.1499,3,9
-5.1635,-0.489445,-21.8799,22.4863,11.3917,3,10
-4.90454,-0.279009,-21.942,22.4851,11.7311,3,11
-4.23445,0.278292,-22.052,22.4566,12.6096,3,12
-2.78887,1.32448,-22.2925,22.5053,14.4102,3,13
-2.04759,1.88798,-22.3817,22.5543,15.3456,3,14
-1.51686,2.25713,-22.4173,22.5817,15.993,3,15
0.226259,3.38866,-22.4545,22.7098,18.0715,3,16
1.29613,4.05779,-22.4308,22.8317,19.3336,3,17
3.1127,5.07414,-22.2377,23.0207,21.4241,3,18
3.70678,5.40965,-22.1615,23.1114,22.1107,3,19
3.87013,5.48701,-22.1348,23.1309,22.2934,3,20
4.8102,5.96015,-21.9621,23.2593,23.3599,3,21
5.48124,6.30166,-21.8097,23.3542,24.1281,3,22
5.57535,6.34737,-21.7853,23.3661,24.2355,3,23
7.31256,7.1424,-21.2348,23.567,26.2237,3,24
8.66512,7.72897,-20.702,23.7359,27.7913,3,25
9.80668,8.19257,-20.2129,23.9134,29.117,3,26
10.4488,8.42624,-19.8605,23.9712,29.8857,3,27
11.5348,8.89179,-19.2058,24.1035,31.2367,3,28
11.5294,8.89217,-19.2035,24.0992,0,4,0
10.4915,7.83639,-19.8503,23.7806,1.61568,4,1
9.91502,7.3636,-20.1445,23.629,2.41717,4,2
8.97616,6.61686,-20.5929,23.4184,3.69785,4,3
7.75969,5.60511,-21.0796,23.1513,5.35325,4,4
6.38918,4.58671,-21.5694,22.9586,7.12957,4,5
6.20496,4.44536,-21.624,22.9316,7.3681,4,6
5.50655,3.9385,-21.7955,22.8227,8.24792,4,7
4.6567,3.30366,-21.9927,22.7217,9.32688,4,8
3.94789,2.82644,-22.1047,22.6317,10.1887,4,9
1.76513,1.25538,-22.3105,22.4154,12.8859,4,10
0.514414,0.284318,-22.4068,22.4145,14.4723,4,11
-0.593955,-0.46775,-22.357,22.3698,15.8126,4,12
-2.48749,-1.80986,-22.3123,22.5233,18.134,4,13
