Points_0,Points_1,Points_2,Points_Magnitude,arc_length,Block Number,Point ID
13.0559,-8.54827,21.2531,26.3671,0,1,0
12.782,-8.04536,21.4586,26.2408,0.608433,1,1
12.3894,-7.469,21.7134,26.0913,1.35088,1,2
12.3845,-7.46066,21.7161,26.0888,1.36092,1,3
12.376,-7.44906,21.7213,26.0858,1.3762,1,4
11.5374,-6.46954,22.1324,25.7839,2.7296,1,5
10.3968,-5.28713,22.6805,25.504,4.46156,1,6
9.28681,-4.03891,23.1686,25.2852,6.20176,1,7
7.8822,-2.78085,23.7166,25.1464,8.16542,1,8
7.67916,-2.60182,23.7865,25.1304,8.44498,1,9
6.87142,-1.92303,23.9993,25.0376,9.52131,1,10
5.2522,-0.636814,24.4312,24.9975,11.6338,1,11
5.05776,-0.505439,24.4682,24.9906,11.8714,1,12
4.49047,-0.125507,24.5455,24.9532,12.5585,1,13
1.58451,1.89009,24.9133,25.0351,16.1142,1,14
0.526567,2.55435,24.9772,25.113,17.365,1,15
-0.289523,3.03217,24.9792,25.1642,18.3107,1,16
-0.850773,3.36777,24.9506,25.1912,18.9652,1,17
-1.73898,3.82625,24.8564,25.2092,19.9692,1,18
-3.68222,4.9237,24.6072,25.3637,22.2148,1,19
-5.1827,5.63427,24.362,25.5365,23.893,1,20
-5.79948,5.94469,24.2487,25.6315,24.5928,1,21
-7.49693,6.68083,23.7918,25.8242,26.4986,1,22
-8.12013,6.96288,23.6141,25.9238,27.2053,1,23
-9.16622,7.37605,23.1989,26.0118,28.4042,1,24
-10.2154,7.79322,22.7672,26.1426,29.6131,1,25
-12.2102,8.50039,21.7625,26.362,31.9558,1,26
-12.6452,8.64622,21.5334,26.4262,32.4686,1,27
-12.6336,8.6446,21.5201,26.4093,0,2,0
-12.1861,8.32238,21.7714,26.3013,0.60605,2,1
-10.8104,7.16042,22.5375,26.0014,2.56292,2,2
-10.7395,7.10228,22.5737,25.9875,2.66148,2,3
-10.7152,7.08296,22.5853,25.9823,2.69462,2,4
-8.73738,5.70557,23.3946,25.6165,5.2371,2,5
-8.27867,5.36411,23.5431,25.5262,5.82791,2,6
-6.65693,4.32075,24.0254,25.3023,7.8157,2,7
-5.75167,3.69237,24.3234,25.2654,8.95724,2,8
-5.55384,3.57177,24.3655,25.2444,9.19273,2,9
-2.66849,1.65698,24.7864,24.9847,12.6811,2,10
-1.92155,1.21512,24.8912,24.9949,13.5553,2,11
-0.913577,0.604959,24.9386,24.9627,14.7345,2,12
0.287412,-0.209954,24.8846,24.8872,16.1869,2,13
0.955443,-0.683444,24.8688,24.8966,17.0058,2,14
3.90342,-2.48312,24.6417,25.0722,20.4672,2,15
4.11389,-2.63426,24.6213,25.1013,20.7271,2,16
5.73986,-3.66455,24.2936,25.23,22.6797,2,17
6.48892,-4.18712,24.1206,25.3267,23.6093,2,18
7.1819,-4.63874,23.9167,25.399,24.4612,2,19
8.05137,-5.18958,23.6094,25.4787,25.5353,2,20
10.6032,-6.99365,22.5711,25.8997,28.8285,2,21
11.2287,-7.41674,22.2615,26.0128,29.6447,2,22
11.6434,-7.66394,22.0617,26.0964,30.1671,2,23
12.2103,-8.08644,21.7144,26.1916,30.9548,2,24
12.6305,-8.41861,21.4276,26.2592,31.5625,2,25
12.9972,-8.56611,21.1508,26.2614,32.0449,2,26
-13.0559,-8.54827,-21.2531,26.3671,0,3,0
-12.782,-8.04536,-21.4586,26.2408,0.608433,3,1
-12.3894,-7.469,-21.7134,26.0913,1.35088,3,2
-12.3845,-7.46066,-21.7161,26.0888,1.36092,3,3
-12.376,-7.44906,-21.7213,26.0858,1.3762,3,4
-11.5374,-6.46954,-22.1324,25.7839,2.7296,3,5
-10.3968,-5.28713,-22.6805,25.504,4.46156,3,6
-9.28681,-4.03891,-23.1686,25.2852,6.20176,3,7
-7.8822,-2.78085,-23.7166,25.1464,8.16542,3,8
-7.67916,-2.60182,-23.7865,25.1304,8.44498,3,9
-6.87142,-1.92303,-23.9993,25.0376,9.52131,3,10
-5.2522,-0.636814,-24.4312,24.9975,11.6338,3,11
-5.05776,-0.505439,-24.4682,24.9906,11.8714,3,12
-4.49047,-0.125507,-24.5455,24.9532,12.5585,3,13
-1.58451,1.89009,-24.9133,25.0351,16.1142,3,14
-0.526567,2.55435,-24.9772,25.113,17.365,3,15
0.289523,3.03217,-24.9792,25.1642,18.3107,3,16
0.850773,3.36777,-24.9506,25.1912,18.9652,3,17
1.73898,3.82625,-24.8564,25.2092,19.9692,3,18
3.68222,4.9237,-24.6072,25.3637,22.2148,3,19
5.1827,5.63427,-24.362,25.5365,23.893,3,20
5.79948,5.94469,-24.2487,25.6315,24.5928,3,21
7.49693,6.68083,-23.7918,25.8242,26.4986,3,22
8.12013,6.96288,-23.6141,25.9238,27.2053,3,23
9.16622,7.37605,-23.1989,26.0118,28.4042,3,24
10.2154,7.79322,-22.7672,26.1426,29.6131,3,25
12.2102,8.50039,-21.7625,26.362,31.9558,3,26
12.6452,8.64622,-21.5334,26.4262,32.4686,3,27
12.6336,8.6446,-21.5201,26.4093,0,4,0
12.1861,8.32238,-21.7714,26.3013,0.60605,4,1
10.8104,7.16042,-22.5375,26.0014,2.56292,4,2
10.7395,7.10228,-22.5737,25.9875,2.66148,4,3
10.7152,7.08296,-22.5853,25.9823,2.69462,4,4
8.73738,5.70557,-23.3946,25.6165,5.2371,4,5
8.27867,5.36411,-23.5431,25.5262,5.82791,4,6
6.65693,4.32075,-24.0254,25.3023,7.8157,4,7
5.75167,3.69237,-24.3234,25.2654,8.95724,4,8
5.55384,3.57177,-24.3655,25.2444,9.19273,4,9
2.66849,1.65698,-24.7864,24.9847,12.6811,4,10
1.92155,1.21512,-24.8912,24.9949,13.5553,4,11
0.913577,0.604959,-24.9386,24.9627,14.7345,4,12
-0.287412,-0.209954,-24.8846,24.8872,16.1869,4,13
-0.955443,-0.683444,-24.8688,24.8966,17.0058,4,14
-3.90342,-2.48312,-24.6417,25.0722,20.4672,4,15
-4.11389,-2.63426,-24.6213,25.1013,20.7271,4,16
-5.73986,-3.66455,-24.2936,25.23,22.6797,4,17
-6.48892,-4.18712,-24.1206,25.3267,23.6093,4,18
-7.1819,-4.63874,-23.9167,25.399,24.4612,4,19
-8.05137,-5.18958,-23.6094,25.4787,25.5353,4,20
-10.6032,-6.99365,-22.5711,25.8997,28.8285,4,21
-11.2287,-7.41674,-22.2615,26.0128,29.6447,4,22
-11.6434,-7.66394,-22.0617,26.0964,30.1671,4,23
-12.2103,-8.08644,-21.7144,26.1916,30.9548,4,24
-12.6305,-8.41861,-21.4276,26.2592,31.5625,4,25
-12.9972,-8.56611,-21.1508,26.2614,32.0449,4,26
21.5138,8.64399,12.6279,26.4013,0,5,0
21.8222,8.24628,12.0814,26.271,0.742989,5,1
22.5709,7.1016,10.736,25.9834,2.66154,5,2
22.7782,6.76731,10.2533,25.88,3.28419,5,3
23.4083,5.69029,8.7206,25.6199,5.26063,5,4
23.5177,5.43889,8.38437,25.5532,5.69449,5,5
24.0408,4.30563,6.63975,25.3098,7.83961,5,6
24.2934,3.76098,5.85892,25.2713,8.82456,5,7
24.3839,3.50086,5.43648,25.2267,9.32886,5,8
24.7554,1.79382,2.88731,24.9877,12.4192,5,9
24.8882,1.23446,1.95165,24.9951,13.5174,5,10
24.9503,0.429324,0.640063,24.9622,15.0576,5,11
24.9118,-0.181503,-0.251094,24.9137,16.1387,5,12
24.899,-0.527443,-0.732561,24.9153,16.7317,5,13
24.6419,-2.56116,-4.01853,25.0984,20.6047,5,14
24.6298,-2.64933,-4.13984,25.1154,20.7551,5,15
24.2548,-3.83411,-5.98626,25.2751,22.9808,5,16
24.1839,-4.04987,-6.29164,25.315,23.3613,5,17
23.9252,-4.6238,-7.16108,25.3983,24.4348,5,18
23.5391,-5.32567,-8.25625,25.5072,25.7916,5,19
22.7086,-6.77826,-10.2799,25.8322,28.4175,5,20
22.287,-7.39643,-11.2146,26.0228,29.6148,5,21
21.9409,-7.79232,-11.8412,26.1216,30.4328,5,22
21.6572,-8.14608,-12.3133,26.2108,31.0874,5,23
21.4157,-8.43365,-12.6794,26.2779,31.6118,5,24
21.1765,-8.56216,-13.0116,26.288,32.0409,5,25
21.1776,-8.56437,-13.0094,26.2885,0,6,0
21.3329,-8.16605,-12.8341,26.201,0.462032,6,1
21.5766,-7.65761,-12.4887,26.0798,1.12323,6,2
21.8405,-7.03658,-12.0171,25.9023,1.94654,6,3
22.1109,-6.48452,-11.4765,25.742,2.76512,6,4
22.6621,-5.33433,-10.4569,25.522,4.39803,6,5
22.8492,-4.86758,-10.0879,25.4469,5.02172,6,6
23.362,-3.6718,-8.86028,25.2541,6.81058,6,7
23.5224,-3.25642,-8.42455,25.1968,7.43355,6,8
23.5887,-3.10811,-8.23504,25.1774,7.68316,6,9
23.985,-1.96452,-6.92751,25.0425,9.46487,6,10
24.4165,-0.67682,-5.30671,24.9957,11.5794,6,11
24.4688,-0.493664,-5.03941,24.9873,11.9077,6,12
24.5638,-0.0273703,-4.3442,24.945,12.7501,6,13
24.9147,1.89318,-1.57972,25.0364,16.1345,6,14
24.9762,2.53142,-0.56425,25.1104,17.3355,6,15
24.9785,3.03846,0.30054,25.1644,18.338,6,16
24.9507,3.36759,0.850453,25.1913,18.9794,6,17
24.8545,3.83469,1.75475,25.2098,20.0018,6,18
24.6085,4.92157,3.6783,25.3639,22.2248,6,19
24.3618,5.63626,5.18677,25.5375,23.9122,6,20
24.2496,5.94373,5.79752,25.6316,24.6051,6,21
23.7902,6.68378,7.50357,25.8254,26.5206,6,22
23.6149,6.96225,8.1187,25.9239,27.2182,6,23
23.2037,7.37142,9.15451,26.0107,28.4054,6,24
22.7676,7.79276,10.2141,26.1423,29.6262,6,25
21.7639,8.49945,12.2073,26.3614,31.9671,6,26
21.5332,8.64624,12.6449,26.4259,32.4832,6,27
-21.5138,8.64399,-12.6279,26.4013,0,7,0
-21.8222,8.24628,-12.0814,26.271,0.742989,7,1
-22.5709,7.1016,-10.736,25.9834,2.66154,7,2
-22.7782,6.76731,-10.2533,25.88,3.28419,7,3
-23.4083,5.69029,-8.7206,25.6199,5.26063,7,4
-23.5177,5.43889,-8.38437,25.5532,5.69449,7,5
-24.0408,4.30563,-6.63975,25.3098,7.83961,7,6
-24.2934,3.76098,-5.85892,25.2713,8.82456,7,7
-24.3839,3.50086,-5.43648,25.2267,9.32886,7,8
-24.7554,1.79382,-2.88731,24.9877,12.4192,7,9
-24.8882,1.23446,-1.95165,24.9951,13.5174,7,10
-24.9503,0.429324,-0.640063,24.9622,15.0576,7,11
-24.9118,-0.181503,0.251094,24.9137,16.1387,7,12
-24.899,-0.527443,0.732561,24.9153,16.7317,7,13
-24.6419,-2.56116,4.01853,25.0984,20.6047,7,14
-24.6298,-2.64933,4.13984,25.1154,20.7551,7,15
-24.2548,-3.83411,5.98626,25.2751,22.9808,7,16
-24.1839,-4.04987,6.29164,25.315,23.3613,7,17
-23.9252,-4.6238,7.16108,25.3983,24.4348,7,18
-23.5391,-5.32567,8.25625,25.5072,25.7916,7,19
-22.7086,-6.77826,10.2799,25.8322,28.4175,7,20
-22.287,-7.39643,11.2146,26.0228,29.6148,7,21
-21.9409,-7.79232,11.8412,26.1216,30.4328,7,22
-21.6572,-8.14608,12.3133,26.2108,31.0874,7,23
-21.4157,-8.43365,12.6794,26.2779,31.6118,7,24
-21.1765,-8.56216,13.0116,26.288,32.0409,7,25
-21.1776,-8.56437,13.0094,26.2885,0,8,0
-21.3329,-8.16605,12.8341,26.201,0.462032,8,1
-21.5766,-7.65761,12.4887,26.0798,1.12323,8,2
-21.8405,-7.03658,12.0171,25.9023,1.94654,8,3
-22.1109,-6.48452,11.4765,25.742,2.76512,8,4
-22.6621,-5.33433,10.4569,25.522,4.39803,8,5
-22.8492,-4.86758,10.0879,25.4469,5.02172,8,6
-23.362,-3.6718,8.86028,25.2541,6.81058,8,7
-23.5224,-3.25642,8.42455,25.1968,7.43355,8,8
-23.5887,-3.10811,8.23504,25.1774,7.68316,8,9
-23.985,-1.96452,6.92751,25.0425,9.46487,8,10
-24.4165,-0.67682,5.30671,24.9957,11.5794,8,11
-24.4688,-0.493664,5.03941,24.9873,11.9077,8,12
-24.5638,-0.0273703,4.3442,24.945,12.7501,8,13
-24.9147,1.89318,1.57972,25.0364,16.1345,8,14
-24.9762,2.53142,0.56425,25.1104,17.3355,8,15
-24.9785,3.03846,-0.30054,25.1644,18.338,8,16
-24.9507,3.36759,-0.850453,25.1913,18.9794,8,17
-24.8545,3.83469,-1.75475,25.2098,20.0018,8,18
-24.6085,4.92157,-3.6783,25.3639,22.2248,8,19
-24.3618,5.63626,-5.18677,25.5375,23.9122,8,20
-24.2496,5.94373,-5.79752,25.6316,24.6051,8,21
-23.7902,6.68378,-7.50357,25.8254,26.5206,8,22
-23.6149,6.96225,-8.1187,25.9239,27.2182,8,23
-23.2037,7.37142,-9.15451,26.0107,28.4054,8,24
-22.7676,7.79276,-10.2141,26.1423,29.6262,8,25
-21.7639,8.49945,-12.2073,26.3614,31.9671,8,26
-21.5332,8.64624,-12.6449,26.4259,32.4832,8,27
