Points_0,Points_1,Points_2,Points_Magnitude,arc_length,Block Number,Point ID
16.5148,-7.28721,33.5901,38.1331,0,1,0
16.2847,-6.99091,33.7681,38.136,0.415222,1,1
15.6464,-6.54473,34.0703,38.0582,1.25059,1,2
15.3151,-6.32166,34.2221,38.0219,1.67786,1,3
14.5445,-5.87016,34.5643,37.9565,2.63431,1,4
14.5287,-5.86128,34.5708,37.955,2.65355,1,5
14.3183,-5.74452,34.6498,37.9292,2.90688,1,6
11.8181,-4.35409,35.5831,37.7463,5.91601,1,7
11.6103,-4.23466,35.6504,37.7317,6.165,1,8
8.92557,-2.85516,36.4147,37.6011,9.27866,1,9
8.60951,-2.69046,36.4893,37.5876,9.64278,1,10
6.83127,-1.8343,36.8367,37.5096,11.6467,1,11
5.00374,-0.991185,37.1325,37.4813,13.681,1,12
4.24241,-0.611585,37.2234,37.4693,14.5366,1,13
3.89757,-0.445936,37.258,37.464,14.9207,1,14
0.104533,1.20451,37.4081,37.4276,19.06,1,15
-1.42525,1.8561,37.4122,37.4853,20.7227,1,16
-3.32137,2.60239,37.2743,37.5124,22.7651,1,17
-5.9238,3.59177,36.9448,37.5887,25.5687,1,18
-7.14822,4.08901,36.7931,37.7035,26.8989,1,19
-8.44874,4.58529,36.4878,37.7328,28.324,1,20
-10.2021,5.2286,36.0735,37.8512,30.237,1,21
-12.4044,6.02074,35.372,37.9644,32.6803,1,22
-13.081,6.25774,35.1266,38.002,33.4381,1,23
-14.2235,6.63728,34.6784,38.0651,34.7227,1,24
-15.7728,7.07999,33.9826,38.1278,36.4778,1,25
-16.5173,7.28654,33.5891,38.1332,37.3449,1,26
-16.5587,7.28715,33.6331,38.1901,0,2,0
-16.2137,7.1285,33.7924,38.1527,0.41174,2,1
-13.7964,6.00127,34.85,37.9589,3.28098,2,2
-12.7208,5.49499,35.2275,37.8549,4.52827,2,3
-11.0155,4.76337,35.7785,37.7377,6.46402,2,4
-9.60178,4.1038,36.1474,37.6253,8.06703,2,5
-8.17589,3.53007,36.4606,37.5324,9.63562,2,6
-4.28961,1.83227,37.2331,37.5241,13.9463,2,7
-4.09894,1.7456,37.2648,37.5302,14.1582,2,8
-3.99545,1.69604,37.2776,37.5295,14.2736,2,9
-3.87921,1.64143,37.2829,37.52,14.4022,2,10
0.215203,-0.0871471,37.4093,37.4101,18.8483,2,11
1.64756,-0.730441,37.3933,37.4367,20.4186,2,12
3.58375,-1.50908,37.2389,37.4414,22.5112,2,13
5.76042,-2.47776,36.9902,37.5179,24.9066,2,14
6.53606,-2.78684,36.9013,37.5791,25.7463,2,15
8.57317,-3.68739,36.4759,37.6509,28.0138,2,16
11.4729,-4.94833,35.6842,37.8084,31.2734,2,17
11.9728,-5.17419,35.5286,37.8471,31.8437,2,18
12.083,-5.22872,35.4887,37.8522,31.973,2,19
14.4936,-6.32432,34.5422,37.9898,34.7849,2,20
15.1546,-6.65397,34.2445,38.0345,35.5813,2,21
16.5015,-7.28984,33.5702,38.1104,37.2162,2,22
-16.5148,-7.28721,-33.5901,38.1331,0,3,0
-16.2847,-6.99091,-33.7681,38.136,0.415222,3,1
-15.6464,-6.54473,-34.0703,38.0582,1.25059,3,2
-15.3151,-6.32166,-34.2221,38.0219,1.67786,3,3
-14.5445,-5.87016,-34.5643,37.9565,2.63431,3,4
-14.5287,-5.86128,-34.5708,37.955,2.65355,3,5
-14.3183,-5.74452,-34.6498,37.9292,2.90688,3,6
-11.8181,-4.35409,-35.5831,37.7463,5.91601,3,7
-11.6103,-4.23466,-35.6504,37.7317,6.165,3,8
-8.92557,-2.85516,-36.4147,37.6011,9.27866,3,9
-8.60951,-2.69046,-36.4893,37.5876,9.64278,3,10
-6.83127,-1.8343,-36.8367,37.5096,11.6467,3,11
-5.00374,-0.991185,-37.1325,37.4813,13.681,3,12
-4.24241,-0.611585,-37.2234,37.4693,14.5366,3,13
-3.89757,-0.445936,-37.258,37.464,14.9207,3,14
-0.104533,1.20451,-37.4081,37.4276,19.06,3,15
1.42525,1.8561,-37.4122,37.4853,20.7227,3,16
3.32137,2.60239,-37.2743,37.5124,22.7651,3,17
5.9238,3.59177,-36.9448,37.5887,25.5687,3,18
7.14822,4.08901,-36.7931,37.7035,26.8989,3,19
8.44874,4.58529,-36.4878,37.7328,28.324,3,20
10.2021,5.2286,-36.0735,37.8512,30.237,3,21
12.4044,6.02074,-35.372,37.9644,32.6803,3,22
13.081,6.25774,-35.1266,38.002,33.4381,3,23
14.2235,6.63728,-34.6784,38.0651,34.7227,3,24
15.7728,7.07999,-33.9826,38.1278,36.4778,3,25
16.5173,7.28654,-33.5891,38.1332,37.3449,3,26
16.5587,7.28715,-33.6331,38.1901,0,4,0
16.2137,7.1285,-33.7924,38.1527,0.41174,4,1
13.7964,6.00127,-34.85,37.9589,3.28098,4,2
12.7208,5.49499,-35.2275,37.8549,4.52827,4,3
11.0155,4.76337,-35.7785,37.7377,6.46402,4,4
9.60178,4.1038,-36.1474,37.6253,8.06703,4,5
8.17589,3.53007,-36.4606,37.5324,9.63562,4,6
4.28961,1.83227,-37.2331,37.5241,13.9463,4,7
4.09894,1.7456,-37.2648,37.5302,14.1582,4,8
3.99545,1.69604,-37.2776,37.5295,14.2736,4,9
3.87921,1.64143,-37.2829,37.52,14.4022,4,10
-0.215203,-0.0871471,-37.4093,37.4101,18.8483,4,11
-1.64756,-0.730441,-37.3933,37.4367,20.4186,4,12
-3.58375,-1.50908,-37.2389,37.4414,22.5112,4,13
-5.76042,-2.47776,-36.9902,37.5179,24.9066,4,14
-6.53606,-2.78684,-36.9013,37.5791,25.7463,4,15
-8.57317,-3.68739,-36.4759,37.6509,28.0138,4,16
-11.4729,-4.94833,-35.6842,37.8084,31.2734,4,17
-11.9728,-5.17419,-35.5286,37.8471,31.8437,4,18
-12.083,-5.22872,-35.4887,37.8522,31.973,4,19
-14.4936,-6.32432,-34.5422,37.9898,34.7849,4,20
-15.1546,-6.65397,-34.2445,38.0345,35.5813,4,21
-16.5015,-7.28984,-33.5702,38.1104,37.2162,4,22
33.6309,7.28734,16.5567,38.1872,0,5,0
33.8305,7.08842,16.1247,38.1412,0.515797,5,1
34.8499,6.00127,13.7964,37.9588,3.28021,5,2
35.2089,5.51817,12.772,37.8582,4.46835,5,3
35.7771,4.76253,11.0119,37.7352,6.46623,5,4
36.1326,4.12195,9.6429,37.6236,8.01896,5,5
36.4553,3.52855,8.16859,37.5255,9.64065,5,6
37.2725,1.73882,4.08835,37.5364,14.1705,5,7
37.2782,1.72306,4.05381,37.5376,14.2089,5,8
37.2805,1.71417,4.03535,37.5375,14.2295,5,9
37.2815,1.70448,4.01486,37.5357,14.2522,5,10
37.4112,-0.0917949,-0.225393,37.412,18.859,5,11
37.3977,-0.670181,-1.50447,37.4339,20.2629,5,12
37.2252,-1.53715,-3.65201,37.4355,22.5852,5,13
37.0096,-2.336,-5.54767,37.4959,24.6536,5,14
36.8866,-2.82095,-6.61508,37.5811,25.8324,5,15
36.541,-3.5557,-8.26336,37.6321,27.6699,5,16
35.6889,-4.91576,-11.364,37.7757,31.1613,5,17
35.5294,-5.17146,-11.9569,37.8425,31.8264,5,18
35.509,-5.19972,-12.0295,37.8501,31.9068,5,19
35.292,-5.46377,-12.6221,37.8774,32.591,5,20
34.5268,-6.35274,-14.5598,38.0059,34.856,5,21
34.342,-6.55908,-14.9677,38.0319,35.3491,5,22
33.57,-7.29025,-16.5,38.1096,37.2142,5,23
33.5889,-7.28747,-16.5136,38.1317,0,6,0
33.7652,-6.99579,-16.2893,38.1362,0.408005,6,1
34.0842,-6.52511,-15.6163,38.055,1.28905,6,2
34.2249,-6.31806,-15.3092,38.0215,1.68526,6,3
34.5326,-5.91182,-14.6177,37.9622,2.54426,6,4
34.5694,-5.86138,-14.528,37.9534,2.65353,6,5
35.0109,-5.20818,-13.3528,37.831,4.06868,6,6
35.5921,-4.34109,-11.7969,37.7466,5.94236,6,7
35.6364,-4.26253,-11.6604,37.737,6.10592,6,8
36.4171,-2.85188,-8.91955,37.6018,9.2858,6,9
36.4813,-2.71006,-8.64783,37.5901,9.59896,6,10
36.8377,-1.83088,-6.82395,37.5091,11.6548,6,11
37.1414,-0.965238,-4.94982,37.4823,13.7414,6,12
37.2252,-0.614839,-4.24802,37.4718,14.5303,6,13
37.2573,-0.461397,-3.92893,37.4668,14.8858,6,14
37.4083,1.20547,-0.102019,37.4279,19.0627,6,15
37.4128,1.84995,1.41041,37.485,20.7067,6,16
37.2732,2.60464,3.32683,37.5119,22.7711,6,17
36.9424,3.59843,5.9408,37.5897,25.5871,6,18
36.7927,4.08991,7.15057,37.7036,26.9015,6,19
36.4888,4.58377,8.44481,37.7328,28.3197,6,20
36.0734,5.22863,10.2021,37.8512,30.2371,6,21
35.3744,6.01799,12.3968,37.9637,32.6719,6,22
35.124,6.25981,13.0873,38.002,33.4452,6,23
34.6782,6.63747,14.2242,38.0652,34.7234,6,24
33.9818,7.08069,15.7756,38.1283,36.4808,6,25
33.5897,7.28658,16.518,38.1341,37.3452,6,26
-33.6309,7.28734,-16.5567,38.1872,0,7,0
-33.8305,7.08842,-16.1247,38.1412,0.515797,7,1
-34.8499,6.00127,-13.7964,37.9588,3.28021,7,2
-35.2089,5.51817,-12.772,37.8582,4.46835,7,3
-35.7771,4.76253,-11.0119,37.7352,6.46623,7,4
-36.1326,4.12195,-9.6429,37.6236,8.01896,7,5
-36.4553,3.52855,-8.16859,37.5255,9.64065,7,6
-37.2725,1.73882,-4.08835,37.5364,14.1705,7,7
-37.2782,1.72306,-4.05381,37.5376,14.2089,7,8
-37.2805,1.71417,-4.03535,37.5375,14.2295,7,9
-37.2815,1.70448,-4.01486,37.5357,14.2522,7,10
-37.4112,-0.0917949,0.225393,37.412,18.859,7,11
-37.3977,-0.670181,1.50447,37.4339,20.2629,7,12
-37.2252,-1.53715,3.65201,37.4355,22.5852,7,13
-37.0096,-2.336,5.54767,37.4959,24.6536,7,14
-36.8866,-2.82095,6.61508,37.5811,25.8324,7,15
-36.541,-3.5557,8.26336,37.6321,27.6699,7,16
-35.6889,-4.91576,11.364,37.7757,31.1613,7,17
-35.5294,-5.17146,11.9569,37.8425,31.8264,7,18
-35.509,-5.19972,12.0295,37.8501,31.9068,7,19
-35.292,-5.46377,12.6221,37.8774,32.591,7,20
-34.5268,-6.35274,14.5598,38.0059,34.856,7,21
-34.342,-6.55908,14.9677,38.0319,35.3491,7,22
-33.57,-7.29025,16.5,38.1096,37.2142,7,23
-33.5889,-7.28747,16.5136,38.1317,0,8,0
-33.7652,-6.99579,16.2893,38.1362,0.408005,8,1
