file,a,Z0,beta,z0,rms
11,0.24342492815775207,0.25877571909655334,0.06874327950145771,0.5422398254954477,0.009757753992417989
15,0.23182176262956614,0.2412983648994915,0.0803706780880688,0.5078006215405365,0.008316100917877994
20,0.21314533370560262,0.2163806437200307,0.07909636882152933,0.4583390350945474,0.004649236971128369
"22,5",0.21415087958606613,0.21802861118367473,0.07384943274690726,0.4568513156549957,0.004878956560077082
25,0.23150279617666764,0.23524513768412622,0.06573205362454715,0.48806476378151775,0.005252278313438838
"27,5",0.2281715755738117,0.2280793236092214,0.06004400606148567,0.47628872493292546,0.004120656032524648
30,0.22416182123256304,0.22527201321652585,0.058679561707514684,0.4658904203588164,0.0049968400157516845
"32,5",0.20946245759630475,0.2117764534052342,0.055474465130141586,0.4341751579512711,0.004707580583298772
35,0.18189775912320283,0.18254153809964874,0.04906673717708224,0.37634840168440936,0.004495771368514458
"37,5",0.1038238406479125,0.10606545973901176,0.06926669628194274,0.21834674288355838,0.004549068707325922
40,0.07435906293865996,0.07463929707474419,0.07731702932325245,0.15616909267472293,0.004450676222173146
"42,5",0.2544240796583486,0.2510509717722258,0.1378834634853501,0.5456597290927496,0.008326737231676078
45,0.10363158810127326,0.102476879911267,0.1201249338038042,0.21753084674454104,0.00664251128772967
"47,5",0.06599566452704317,0.06501280263299526,0.1285218508211402,0.13777212868659283,0.005999040098653011
49,0.23060219464808465,0.22766405694321717,0.1287156385851312,0.4933797426865488,0.0062207655543027075
